imageUrl	title	totalScore	reviewsCount	state	city	phone	categoryName	description	placeId	location/lat	location/lng
https://lh5.googleusercontent.com/p/AF1QipOAaTRMxZrevNetxAA1gFTQiIdPVyFWS4UMFtT1=w408-h306-k-no	Welcome To Batam Monument	4.5	6825	Kepulauan Riau	Kota Batam		Wisata Alam	Tanda ikonis di lereng bukit, yang populer sebagai tempat berfoto dan dikelilingi pasar makanan malam.	ChIJsz6nOx6J2TERpqumlxKiWQ8	1.1222745	104.0534482
https://lh5.googleusercontent.com/p/AF1QipOOiqVV0vsX-kEPrKdfiyOYsiLlG8gn-OtTIXWe=w408-h306-k-no	Batam Centre Park	4.5	5700	Kepulauan Riau	Kota Batam		Wisata Rekreasi dan Keluarga		ChIJTUflVgSJ2TERjudaONUAje4	1.1285986	104.054619
https://lh5.googleusercontent.com/p/AF1QipMu3R6Y3Am-HBQfWhQy1xW__blt1NtRDdQC2oB9=w480-h240-k-no	THE ILLUSION	4.4	517	Kepulauan Riau	Kota Batam	+62 811-7018-018	Wisata Rekreasi dan Keluarga		ChIJhZB2f8aJ2TER3V1G1_40FKM	1.1618969	104.0393579
https://lh5.googleusercontent.com/p/AF1QipPrIIjmUi9A0xhoaK6En3awbReF9se5kIWMkoZZ=w426-h240-k-no	Miniature House Indonesia	4.3	1391	Kepulauan Riau	Kota Batam		Hiking Area		ChIJIbxJ4sWJ2TERYLGItAq6N4E	1.1620625	104.0410735
https://lh5.googleusercontent.com/p/AF1QipNUOiiYg0Dmn9tDuL8OfeifQxzi7oc689OMa-c9=w408-h271-k-no	Panbil Nature Reserve	4.5	344	Kepulauan Riau	Kota Batam	+62 813-7112-2624	Cagar Alam	wisata alam	ChIJDeT_JOGP2TERJM3_WHfSRBc	1.0901616	104.0305129
https://lh5.googleusercontent.com/p/AF1QipO_tRkXRJveqF1ZGx8eUm8L4euFQRQ6IsAdLuFS=w408-h245-k-no	Tebing Langit Bukit Dangas Sekupang	4.1	1061	Kepulauan Riau	Kota Batam		Wisata Rekreasi dan Keluarga		ChIJw4K4AHOL2TERj1oBk_-OzUc	1.1183937	103.9520069
https://lh5.googleusercontent.com/p/AF1QipOQnnnS6Dj48ylVXkXtuVTOqB5iDNADPeIvesfK=w408-h306-k-no	Belalang Adventure	4.5	760	Kepulauan Riau	Kota Batam	+62 812-7022-8879	Wisata Alam		ChIJ7XqIJsaJ2TEReS9gM1-M3t8	1.1608644	104.042305
https://lh5.googleusercontent.com/p/AF1QipNGZ-apmSTneIBKobZKVQ6_ABNFKv48pVs8VL02=w408-h306-k-no	Bukit Clara (Clara Hill)	4.4	82	Kepulauan Riau	Kota Batam		Wisata Budaya dan Sejarah		ChIJnSXALOCI2TERz4kVguyJEQc	1.1222044	104.0541379
https://lh5.googleusercontent.com/p/AF1QipNVLGhj_VBiBwPiOLs3dAy0fXTQ8LpOSNIX5oLg=w426-h240-k-no	Dataran Engku Putri	4.6	448	Kepulauan Riau	Kota Batam		Wisata Rekreasi dan Keluarga		ChIJCdMNn-KI2TERY-5Iv5DRCTg	1.129271	104.0538747
https://lh5.googleusercontent.com/p/AF1QipNPCnG3ZSvB9opc6uVMd2yhBfn2Lma8-Rilm_Mz=w408-h317-k-no	Pura Agung Amerta Bhuana	4.5	275	Kepulauan Riau	Kota Batam		Wisata Budaya dan Sejarah		ChIJXS5kiNSL2TER1IV63R5Sa0o	1.1128071	104.0024369
https://lh5.googleusercontent.com/p/AF1QipN1S496gtfyMt1LLB7CMhHwgv7kCoMT77ApoeGY=w408-h306-k-no	Batam Forest Top	4.3	111	Kepulauan Riau	Kota Batam		Wisata Rekreasi dan Keluarga		ChIJqcupb3OL2TER79u33MKwIJ4	1.1188298	103.9541337
https://lh5.googleusercontent.com/p/AF1QipOm_8qu0rw1IMeb3kWwczPXoEy2jlWGGCB4Akz3=w408-h306-k-no	Hutan Wisata Mata Kucing dan Bonbin Mini	3.9	764	Kepulauan Riau	Kota Batam		Cagar Alam	Kebun binatang simpel dengan monyet, reptil, burung, dan hewan lainnya, plus area berenang minimalis.	ChIJhabkuGeM2TER_kmoCXKfZp8	1.0848005	103.9711782
https://lh5.googleusercontent.com/p/AF1QipPBIeUUKsSNdz1Z3e0fu_68B9A1l0yPyUO5TF0U=w408-h544-k-no	Batam Water Park	4.4	342	Kepulauan Riau	Kota Batam	+62 812-6899-7171	Wisata Rekreasi dan Keluarga		ChIJq6qq6pSJ2TERt9KFQdAWMSk	1.1621534	104.0452006
https://lh5.googleusercontent.com/p/AF1QipPNNGTzJ7X3oh0vWV98eV_Pbe-8GKGVA5U8D_Yj=w408-h306-k-no	PANBIL NATURE RESERVE ECO EDU PARK	4.3	367	Kepulauan Riau	Kota Batam	+62 813-7112-2624	Hiking Area		ChIJrU5FiI2P2TER9CxrhMXlvOs	1.0908308	104.0285842
https://lh5.googleusercontent.com/p/AF1QipMQzCpDYZECFtIwgjPDcPYdSOIEq4UwYAzT3xL0=w426-h240-k-no	Waterpark Top 100 Batu Aji	4.3	2280	Kepulauan Riau	Kota Batam	+62 887-1202-188	Wisata Rekreasi dan Keluarga		ChIJMbJ8NeKN2TER5vZu1kWMNbg	1.039516	104.0043689
https://lh5.googleusercontent.com/p/AF1QipOdhxQvDfe0MTd03HLO6VXW_wJzf70-f_UPXC-r=w408-h306-k-no	Batam Island	4.2	9	Kepulauan Riau	Kota Batam		Wisata Pulau		ChIJK85gcluP2TER6k3qNv-Q__Y	1.0828276	104.0304535
https://lh5.googleusercontent.com/p/AF1QipPUTWtkLybNNOFAlmGGbKUsNa_aUxHzjJZ8gDY6=w429-h240-k-no	Pantai Cipta Land	4.2	853	Kepulauan Riau	Kota Batam		Pantai		ChIJw91KZLOL2TEReik6P0BEx18	1.1371593	103.9780922
https://lh5.googleusercontent.com/p/AF1QipN41Jd9HBmQkA6R04Y892MjPt9RvLl1HJwYDp8x=w408-h306-k-no	Masjid Jabal Arafah	4.8	6133	Kepulauan Riau	Kota Batam	+62 778 428320	Tempat Ibadah	Masjid kontemporer di Pusat Bisnis Lubuk Baja yang dilengkapi kafe, perpustakaan, taman, & lainnya.	ChIJCWZVFoeJ2TERNYqdRP14ZkU	1.1449494	104.0134685
https://lh5.googleusercontent.com/p/AF1QipNH-Wk54zkb3QChX9LZeoBW76QB9NgScTc7qcsx=w426-h240-k-no	Dangas Beach	3.4	5	Kepulauan Riau	Kota Batam		Pantai		ChIJU98WbGCL2TERUC70szXyb_s	1.1401885	103.9497084
https://lh5.googleusercontent.com/p/AF1QipNO-ADyEWI0ZmUofQbXeg5SBeUQDx-qEFO5RsLh=w408-h305-k-no	Lembah Pelangi Batam	4.2	84	Kepulauan Riau	Kota Batam	+62 813-8888-9066	Wisata Alam		ChIJya2NCY2L2TERWIDADS_F5zA	1.1188731	103.9541966
https://lh5.googleusercontent.com/p/AF1QipPvwUhSTy56_epDC2bM1-9kxXHnmpDK5LE8oPen=w408-h306-k-no	Taman Rusa Sekupang (Jogging Track)	4.5	1995	Riau Islands	Batam City		Tourist attraction		ChIJUyzLfj6L2TER7EMfZPHKp1E	1.1238267	103.935072
https://lh5.googleusercontent.com/p/AF1QipOWma34pu6r4VLrjKRylEPZVeexYVHTrQ9NG20=w408-h306-k-no	Sekupang Ponds Park	4.4	766	Riau Islands	Batam City		City park		ChIJk0qn2juL2TERCCQ9tV7FRrA	1.1255897	103.9295784
https://lh5.googleusercontent.com/p/AF1QipOjGmQgReiDse_PIYOZlrnxZC2vwFcyvRF7cep4=w426-h240-k-no	Kebun Raya Batam	4.2	1101	Kepulauan Riau	Kota Batam		Wisata Alam		ChIJQyR551Kh2TERBJZfZWqUQwY	0.8317529	104.204716
https://lh5.googleusercontent.com/p/AF1QipOJR-54r8a1oqo6UYkIyVReM6Oh5IASbIkVbh6M=w408-h306-k-no	Ex Camp Vietnam	4.4	747	Kepulauan Riau	Kota Batam		Wisata Budaya dan Sejarah		ChIJVfew922m2TERLRDGpCNuakY	0.7523504	104.2036392
https://lh5.googleusercontent.com/p/AF1QipPHHv90QDGO1LY-QQvL-KfIaoEiNpYhIb_79Cx3=w408-h544-k-no	Ocarina Batam	4.4	86	Kepulauan Riau	Kota Batam		Wisata Rekreasi dan Keluarga		ChIJFQP2qRmJ2TERcC3Hjir2oAA	1.1509581	104.0506497
https://lh5.googleusercontent.com/p/AF1QipNMaC5Exq57_jN5XLYcmNuPQ4ryr-u61IB8lMcl=w426-h240-k-no	Kebun Raya Batam	3.9	1235	Kepulauan Riau	Kota Batam		Wisata Alam		ChIJVdrfRxmI2TERVkWY7qLUg5Y	1.1704688	104.0813506
https://lh5.googleusercontent.com/p/AF1QipOwdxd-xqphx6FSYJcMloTAvCIetGNZ44zrw5Sl=w426-h240-k-no	Mega Mall Batam Centre	4.5	20183	Kepulauan Riau	Kota Batam	+62 778 470100	Shopping mall	Mal luas dan populer dengan berbagai retailer, plus restoran, supermarket & bioskop.	ChIJa79jQA-J2TERfO2f9xml320	1.1293427	104.0558822
