imageUrl	title	price	totalScore	reviewsCount	state	city	phone	categoryName	description	placeId	location/lat	location/lng
https://lh5.googleusercontent.com/p/AF1QipOptNVHTsPl9R-6xX6TzlWpoLKfgMt_PpS_oJVO=w426-h240-k-no	Narmada Park		4.4	993	Nusa Tenggara Bar.	Kabupaten Lombok Barat		Taman Kota		ChIJA34khmy4zS0RFb2zry_Re1Y	-8.5952444	116.2045501
https://lh5.googleusercontent.com/p/AF1QipMSAjxeDQbCOhMhvDPE7Ahw56zbl6Xr-2k-nFOt=w408-h306-k-no	Taman Mayura		4.4	2236	Nusa Tenggara Bar.	Kota Mataram	+62 878-6328-6625	Wisata Sejarah & Budaya		ChIJ40YiulW_zS0RZYytn3sbwLo	-8.5868261	116.1330549
https://lh5.googleusercontent.com/p/AF1QipOXkDgLT3t4w3niivvBf4fAtwcsgB4J480z3ZRl=w408-h272-k-no	Narmada Botanic Garden		4.2	1368	Nusa Tenggara Bar.	Kabupaten Lombok Barat	+62 819-3300-0339	Taman Bunga		ChIJPzao2Wy4zS0R0wFYgYBFaLA	-8.5921289	116.2059179
https://lh5.googleusercontent.com/p/AF1QipN5jn-UNfkMvfAHtXO5gjsKIr2Kf5i0n8SRYeM=w408-h306-k-no	Benang Stokel and Benang Kelambu Waterfall		4.3	1286	Nusa Tenggara Bar.	Kabupaten Lombok Tengah	+62 819-4980-0700	Wisata Alam	Perlu tiket untuk melihat 2 air terjun yang mengalir di atas tebing yang tertutup pakis di area hutan.	ChIJ_____3vMzS0RpV-XoZGa9rw	-8.533019	116.3413827
https://lh5.googleusercontent.com/p/AF1QipO3v13xjq9QBDjRezn5iBXAtR6KGFhVr-ETYMlm=w408-h544-k-no	Bat Cave of Goa Bangkang Prabu_Kuta		4.3	468	Nusa Tenggara Bar.	Kabupaten Lombok Tengah	+62 819-9910-2008	Tujuan Wisata		ChIJJRN1XRiozS0RUGNX9NnWw5g	-8.8866277	116.2547365
https://lh5.googleusercontent.com/p/AF1QipM8j3OuKOt6xzFOZQWXtkPxVVCfSpgfllDv7j65=w408-h306-k-no	Air Terjun Sendang Gile		4.6	1656	Nusa Tenggara Bar.	Kabupaten Lombok Utara	+62 822-3634-3282	Wisata Alam	Situs menawan dengan 2 air terjun, diakses melalui jalan setapak yang dikelilingi hutan rimbun indah.	ChIJD87VUP_VzS0RM4YPd7ICqSE	-8.3062412	116.4083416
https://lh5.googleusercontent.com/p/AF1QipO2f0O26GGKuqZrkdzXDPjbUd5R_bv__zOVovbS=w408-h306-k-no	Tetebatu Monkey Forest		4.3	199	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 819-0737-8703	Wisata Alam		ChIJ2zMce9PKzS0Rzjbo-IFmuDc	-8.5307716	116.4170685
https://lh5.googleusercontent.com/p/AF1QipPYpgD8grq7rk9rpDTBRDDm2Fv8FDk2JA5HZmEh=w408-h550-k-no	Sade Village		4.5	9422	Nusa Tenggara Bar.	Kabupaten Lombok Tengah	+62 819-1633-0353	Wisata Sejarah & Budaya	Desa tradisional Lombok yang terkenal dengan gubuk anyaman tinggi, pedagang tekstil & pertunjukan jalanan.	ChIJrzuYLRepzS0RfKlSJ1rtnvo	-8.8393082	116.2919871
https://lh5.googleusercontent.com/p/AF1QipPIUIxC_oEEmsgVSoyBUbGDsq3zqWF1bAixVutR=w426-h240-k-no	Pelawangan Sembalun		4.8	333	Nusa Tenggara Bar.	Kabupaten Lombok Timur		Wisata Alam		ChIJ977iG10tzC0RI_ZW3RWkPz4	-8.3938231	116.4404638
https://lh5.googleusercontent.com/p/AF1QipNtqP2Kmdyk2bfHqRuDRkBj1_IJ-t-d8CllPswD=w426-h240-k-no	Museum Negeri Nusa Tenggara Barat		4.6	1746	Nusa Tenggara Bar.	Kota Mataram		Wisata Sejarah & Budaya	Museum negara yang menampilkan beragam seni, kerajinan & baju pengantin tradisional Indonesia.	ChIJVSCrV37AzS0Rj9Z-5v8ylVU	-8.5850895	116.0858706
