imageUrl	title	totalScore	reviewsCount	state	city	phone	categoryName	description	placeId	location/lat	location/lng
https://lh5.googleusercontent.com/p/AF1QipPu2EnS2TdjipvNFanV-ytYXtwgOmHRFPSGjKUN=w408-h276-k-no	Malioboro Yogyakarta	4.8	88811	Daerah Istimewa Yogyakarta	Kota Yogyakarta	+62 895-2980-5800	Pusat Perbelanjaan	Jalan populer dengan deretan kios suvenir, penjual makanan, dan restoran, dengan kereta kuda.	ChIJM4x-oUJXei4RsL4DUKXJLfk	-7.7925764	110.365843
https://lh5.googleusercontent.com/p/AF1QipP7k7EEfySZKxyYXlu-44NLNJaxfXZbb2BxkX0n=w408-h544-k-no	Kampung Wisata Taman Sari	4.6	41851	Daerah Istimewa Yogyakarta	Kota Yogyakarta		Wisata Sejarah & Budaya	Bekas taman kerajaan dari abad ke-18 dengan kompleks pemandian bertingkat dan arsitektur yang indah.	ChIJK8_C0JNXei4RE74coPghaic	-7.8099788	110.3589907
https://lh5.googleusercontent.com/p/AF1QipPJwsx2qf1EFTwz-_cv8mIGruurXOeL0nDc_ar0=w408-h255-k-no	Lippo Plaza Jogja	4.4	25775	Special Region of Yogyakarta	Yogyakarta City		Shopping mall		ChIJqVbiVsVZei4R7TOicS1Ruvw	-7.783276	110.3906451
https://lh5.googleusercontent.com/p/AF1QipPzNQEImrLYbcdSBgCQWkjQks39_XvRtdyIJR-B=w408-h306-k-no	The Lost World Castle	4.3	21794	Daerah Istimewa Yogyakarta	Kabupaten Sleman		Tujuan Wisata	Pusat pengunjung bergaya benteng batu abad pertengahan, dengan pameran geologi & pemandangan gunung Merapi.	ChIJCVFD7Ztdei4RyYO2suhfTyg	-7.6041648	110.4510042
https://lh5.googleusercontent.com/p/AF1QipMmSzNNgqYwD0vU7G_U2cPJzQ-ey_NYoA39e2AZ=w408-h408-k-no	Masjid Jogokariyan	4.8	19066	Daerah Istimewa Yogyakarta	Kota Yogyakarta		Wisata Sejarah & Budaya	Masjid dengan fasad biru kehijauan bernuansa cerah & barisan lentera, plus kaca patri di aula salat.	ChIJqaQhHbtXei4Rz3wCkvRZ1bI	-7.8242419	110.3645727
https://lh5.googleusercontent.com/p/AF1QipPxuysUH7z2DyMMfcb4SmWLjgR9sYNR_UGhUsgT=w426-h240-k-no	Museum Benteng Vredeburg	4.6	18623	Daerah Istimewa Yogyakarta	Kota Yogyakarta	+62 274 586934	Wisata Sejarah & Budaya	Museum yang dulunya benteng kolonial ini menampilkan sejarah perjuangan kemerdekaan Indonesia.	ChIJz-6zwIhXei4R-J8qI-AcYbk	-7.800293	110.3661642
https://lh5.googleusercontent.com/p/AF1QipMEbKswl-piL9IKkeLVT_dh9aG2tefYbiFwqvQ=w426-h240-k-no	The World Landmarks - Merapi Park Yogyakarta	4.3	18385	Daerah Istimewa Yogyakarta	Kabupaten Sleman	+62 877-0079-9000	Tujuan Wisata	Taman & area piknik dengan versi mini dari bangunan seperti Big Ben & Menara Eiffel, plus taman rekreasi air.	ChIJYVpFuq1gei4RehfFB44BVfU	-7.6209046	110.4216275
https://lh5.googleusercontent.com/p/AF1QipP_IP1FfkIc3-jsFcZK7hGnxgSapFBl66TN4OZ1=w408-h306-k-no	Puncak Pinus Becici	4.5	16988	Daerah Istimewa Yogyakarta	Kabupaten Bantul	+62 823-2905-5550	Area Rekreasi Alam	Area hutan dengan dekorasi tempat duduk untuk kesempatan berfoto dengan pemandangan gunung, lembah & kota.	ChIJq6qqqhpTei4R9FnqkZsUKGw	-7.9020355	110.4374627
https://lh5.googleusercontent.com/p/AF1QipOVAT-nbRgGGyHbMWHKjPg2Sa0hhCPnUGK6XXAg=w408-h305-k-no	Bunker Kaliadem Merapi	4.6	16623	Daerah Istimewa Yogyakarta	Kabupaten Sleman		Tujuan Wisata	Bungker beton terbengkalai dengan panorama gunung Merapi aktif, bisa dicapai melalui jalan tanah bergelombang.	ChIJ0-rTvq9mei4RBtjAvesIAkA	-7.5831786	110.4481802
https://lh5.googleusercontent.com/p/AF1QipNZKUqIn3ly67nmXawLZ6vbEC5OdSSADSTM4Puf=w408-h306-k-no	Pasar Legi Kotagede	4.6	16384	Daerah Istimewa Yogyakarta	Kota Yogyakarta		Shopping Area	Buah, sayuran, rempah-rempah, makanan tradisional, dan minuman herbal jamu di pasar yang sudah lama berdiri.	ChIJ91ts-xhXei4Rd0ZCh55R6os	-7.8283312	110.3997949
